,Name,Rating,Review Count,Price,Address
110,Foko,4.5,71,,"1001 Logan St, Ste 124, Logan Street Market, Louisville, KY 40204"
111,Sarang,4.5,207,$$,"1908 Eastern Pkwy, Louisville, KY 40204"
112,Le Moo,4.0,855,$$$,"2300 Lexington Rd, Louisville, KY 40206"
113,A Toda Madre,4.5,13,,"2100 E Spring St, New Albany, IN 47150"
114,Sarap Filipino Eatery,3.5,15,,"712 Brent St, Louisville, KY 40204"
115,Ciao Ristorante,4.0,283,$$,"1201 Payne St, Louisville, KY 40204"
116,Parlour on Frankfort,4.5,89,$$,"2636 Frankfort Ave, Louisville, KY 40206"
117,Dasha Barbour's,3.5,69,$$,"217 E Main St, Louisville, KY 40202"
118,Daisuki Sushi,4.5,13,,"1604 Bardstown Rd, Louisville, KY 40205"
119,Derby City Pizza Co.,4.0,126,$,"2500 Crittenden Dr, Louisville, KY 40217"
120,La Cabanita,4.0,1,,"4900 Poplar Level Rd, Louisville, KY 40219"
121,Daryk's,4.5,2,,"1154 Logan St, Louisville, KY 40204"
122,Brazeiros Churrascaria - Brazilian Steakhouse,4.0,273,$$$,"450 S 4th St, Louisville, KY 40202"
123,Open Caribbean Kitchen,4.5,35,,"4735 Poplar Level Rd, Ste 1, Louisville, KY 40213"
124,OUTCAST Fish and Oyster  Bar,4.0,6,,"207 E Main St, New Albany, IN 47150"
125,On The Rocks Burgers & Bar,3.5,10,$$,"601 W Riverside Dr, Jeffersonville, IN 47130"
126,Feast BBQ,4.0,1013,$$,"909 E Market St, Ste 100, Louisville, KY 40206"
127,The B.A. Colonial,4.0,54,$$,"818 W Kenwood Dr, Louisville, KY 40214"
128,Iron Quarter,4.0,5,,"400 S 2nd St, Louisville, KY 40202"
129,Grind Burger Kitchen,4.0,703,$$,"829 E Market St, Louisville, KY 40206"
130,La Suerte Louisville,4.5,100,$$,"2116 Bardstown Rd, Louisville, KY 40205"
131,Dragon King's Daughter,4.0,587,$$,"1543 Bardstown Rd, Louisville, KY 40204"
132,Mi Casita on 4th,4.0,233,$$,"520 S 4th St, Ste 100, Louisville, KY 40202"
133,Bob's Steak & Chop House,4.0,113,$$$,"400 S 2nd St, Louisville, KY 40202"
134,Pearl Street Taphouse,4.5,154,$$,"407 Pearl St, Jeffersonville, IN 47130"
135,Matt Winn's Steakhouse,4.5,48,$$$$,"750 Central Ave, Louisville, KY 40208"
136,The Red Yeti,4.0,500,$$,"256 Spring St, Jeffersonville, IN 47130"
137,Mayan Cafe,4.5,864,$$,"813 E Market St, Louisville, KY 40206"
138,Guy Fieri's Smokehouse,3.0,776,$$,"434 South 4th St, Louisville, KY 40202"
139,Galaxie,4.5,172,$$,"732 E Market St, Louisville, KY 40202"
140,Eden & Kissi,4.5,104,,"3912 Bardstown Rd, Louisville, KY 40218"
141,Mr Hot Dog,4.0,1,,"6714 Outer Loop, Louisville, KY 40228"
142,Sapporo Japanese Grill and Sushi,4.0,431,$$,"1706 Bardstown Rd, Louisville, KY 40205"
143,El Mundo,4.0,57,,"1767 Bardstown Rd, Louisville, KY 40205"
144,Fresh Out the Box,4.0,29,$,"1001 Logan St, Ste 125, Louisville, KY 40204"
145,Upland Brewing - Jeffersonville,3.5,139,$$,"707 W Riverside Dr, Jeffersonville, IN 47130"
146,Sway,3.5,178,$$,"311 S 4th St, Louisville, KY 40202"
147,Classico Takeout & Empanadas,5.0,17,,"104 S Preston St, Louisville, KY 40202"
148,The Exchange Pub + Kitchen,4.5,530,$$,"118 W Main St, New Albany, IN 47150"
149,Blue Bay Seafood & Sushi Restaurant,4.0,5,,"4322 Poplar Level Rd, Louisville, KY 40213"
150,Cottage Inn,4.0,113,$,"570 Eastern Pkwy, Louisville, KY 40217"
151,The Hub Louisville,4.0,308,$$,"2235 Frankfort Ave, Louisville, KY 40206"
152,Lee's Korean Restaurant,4.5,163,$$,"1941 Bishop Ln, Ste 107, Louisville, KY 40218"
153,River City Drafthouse,4.0,140,$,"1574 Bardstown Rd, Louisville, KY 40205"
154,Blue Horse,3.0,121,$$,"830 Phillips Ln, Louisville, KY 40209"
155,Simply Mediterranean,5.0,28,,"2900 Brownsboro Rd, Louisville, KY 40206"
156,The Fish House/Cafe Beignet,4.5,336,$,"1310 Winter Ave, Louisville, KY 40204"
157,PokeHana,4.5,121,$,"436 W Market St, Louisville, KY 40202"
158,The Palm Room,5.0,6,$,"1821 W Jefferson St, Louisville, KY 40203"
159,Chef Shaqs Kitchen,4.5,31,,"612 S 5th St, Louisville, KY 40202"
160,Book and Bourbon Southern Kitchen,3.5,80,$$,"600 Terminal Dr, Louisville, KY 40209"
161,City Barbeque,3.5,20,$$,"4027 Poplar Level Rd, Louisville, KY 40213"
162,Silvio's,4.5,318,$$,"104 Fairfax Ave, Louisville, KY 40207"
163,Barrel Bar and Grill,3.5,21,,"110 W Main St, Louisville, KY 40202"
164,Daddy Vic's Soul Food,5.0,7,,"4444 Cane Run Rd, Louisville, KY 40216"
165,Kabuki Hibachi & Ramen,4.0,13,$$,"253 Spring St, Jeffersonville, IN 47130"
166,Number 15,3.0,10,,"121 W Main St, Louisville, KY 40202"
167,Bandido Taqueria Mexicana,4.5,384,$$,"423 University Blvd, Louisville, KY 40217"
168,Safier Mediterranean Deli,4.5,396,$$,"641 S 4th St, Louisville, KY 40202"
169,Havana Rumba & Tapas Bar,4.5,442,$$,"2210 Bardstown Rd, Louisville, KY 40205"
170,ROC Restaurant,4.0,218,$$,"1327 Bardstown Rd, Louisville, KY 40204"
171,Taqueria Los Gorditos,4.5,22,,"2017 Brownsboro Rd, Louisville, KY 40206"
172,Emmy Squared Pizza - Nulu  Louisville,4.0,223,$$,"825 E Market St, Louisville, KY 40206"
173,Steak & Bourbon,4.5,345,$$$,"1321 Herr Ln, Ste 130, Louisville, KY 40222"
174,BACKSIDE at Whiskey Row,4.5,6,,"108 W Washington St, Louisville, KY 40202"
175,The Seafood Lady,3.5,115,$$,"601 E Jefferson St, Louisville, KY 40202"
176,Haitian Exotica,0.0,0,,"615 Baxter Ave, Louisville, KY 40204"
177,Down One Bourbon Bar,3.5,295,$$,"321 W Main St, Louisville, KY 40202"
178,Bred And Bourbon,5.0,1,,"101 W Muhammad Ali Blvd, Louisville, KY 40202"
179,Jerusalem Kitchen,4.5,104,$$,"4413 Saint Rita Dr, Louisville, KY 40219"
180,Hollys Pour House,4.5,18,$,"907 Ulrich Ave, Louisville, KY 40219"
181,Union 15,4.0,114,$$,"816 W Kenwood Dr, Louisville, KY 40214"
182,Caribbean Cafe,4.5,56,$,"317 W Woodlawn Ave, Louisville, KY 40214"
183,Full Stop,4.5,87,,"1132 E St Catherine St, Louisville, KY 40204"
184,Syrian Grill,4.5,49,,"3325 Bardstown Rd, Louisville, KY 40218"
185,Lil Wagner's,3.5,3,,"4520 Poplar Level Rd, Derby City Gaming Hotel, Louisville, KY 40213"
186,Happy Belly Waterside,4.5,2,,"1515 River Shore Dr, Louisville, KY 40206"
187,Falls City Market,4.5,67,$$,"400 S 2nd St, Louisville, KY 40202"
188,The Fish house &Grill,5.0,3,,"2124 W Broadway, Louisville, KY 40211"
189,Rubbies Barbeque & Brew,4.0,130,$$,"6905 Southside Dr, Louisville, KY 40214"
190,Brooklyn and The Butcher,4.0,248,$$$,"148 E Market St, New Albany, IN 47150"
191,A Chau Restaurant,4.5,108,$,"5103 South 3rd St, Louisville, KY 40214"
192,Uptown Cafe,4.0,125,$$,"1624 Bardstown Rd, Louisville, KY 40205"
193,Orange Clover Kitchen & More,4.5,88,$$,"590 Missouri Ave, Ste 100, Jeffersonville, IN 47130"
194,Copper & Kings Distillery,4.5,328,$$,"1121 E Washington St, Louisville, KY 40206"
195,Bandido Taqueria Mexicana,4.0,5,,"4214 Shelbyville Rd, Louisville, KY 40207"
196,El Molcajete,4.5,231,$,"2932 S 4th St, Louisville, KY 40208"
197,Haymarket Bistro,4.0,9,$,"300 E Market St, Ste 100A, Louisville, KY 40202"
198,Big Momma's Soul Kitchen,4.0,50,$,"1213 S 28th St, Louisville, KY 40211"
199,Losers 812,4.0,8,,"1005 W Market St, Jeffersonville, IN 47130"
200,The Joy Luck,4.0,404,$$,"1285 Bardstown Rd, Louisville, KY 40204"
201,Shirley Mae's Café,4.5,175,$,"802 S Clay St, Louisville, KY 40203"
202,Check's Cafe,4.0,197,$,"1101 E Burnett Ave, Louisville, KY 40217"
203,Pho Ba Luu,4.0,332,$$,"1019 E Main St, Louisville, KY 40206"
204,Zombie Taco,3.5,103,,"100 W Washington St, Unit 101, Louisville, KY 40202"
205,40 Acres & A Mule,4.0,10,,"1800 Dixie Hwy, Louisville, KY 40210"
